CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,,9.370,,,400 BC,400,400,-400,-400
,,,,,,,,9.371,,,4th cent. BC,400,300,-400,-300
,,,,,,,,9.375,,,4th-2nd cent. BC,400,100,-400,-100
,,,,,,,,9.376,,,Early 4th cent. BC,400,370,-400,-370
,,,,,,,8.587,9.377,,1256,Early 4th cent. BC,400,370,-400,-370
,,,,,,,,9.379,,1247,400 BC,400,400,-400,-400
,,,,,,,,9.380,,1197,400 BC,400,400,-400,-400
,,,,,,,,9.385,,,400-350 BC,400,350,-400,-350
,,,,,,,,9.388,,1201,390 BC,390,390,-390,-390
,,,,,,,8.093,9.389,,,380 BC,380,380,-380,-380
,,,,,,,8.091,9.390,,,380 BC,380,380,-380,-380
,,,,,,,8.587,9.391,,1259,380 BC,380,380,-380,-380
,,,,,,,,9.392,,,380 BC,380,380,-380,-380
,,,,,,,,9.393,,,380 BC,380,380,-380,-380
,,,,,,,,9.394,,,380 BC,380,380,-380,-380
,,,,,,,,9.401,,1263,370 BC,370,370,-370,-370
,,,,,,,,9.402,,,370 BC,370,370,-370,-370
,,,,,,,,9.403,,,370-360 BC,370,360,-370,-360
,,,,,,,8.587,9.404,,1500,368-333 BC,368,333,-368,-333
,,,,,,,,9.407,,1214,365 BC,365,365,-365,-365
,,,,,,,,9.408,,,360 BC,360,360,-360,-360
,,,,,,,8.587,9.409,,1252,350 BC,350,350,-350,-350
,,,,,,,,9.410,,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,9.412,,1218,350 BC,350,350,-350,-350
,,,,,,,,9.415,,,350-325 BC,350,325,-350,-325
,,,,,,,,9.416,,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,9.417,,,350 BC,350,350,-350,-350
,,,,,,,,9.418,,1266,345 BC,345,345,-345,-345
,,,,,,,,9.420,,,340-330 BC,340,330,-340,-330
,,,,,,,8.143,9.422,,,340 BC,340,340,-340,-340
,,,,,,,,9.424,,1211,340 BC,340,340,-340,-340
,,,,,,,8.587,9.436,,1515,333 BC,333,333,-333,-333
,,,,,,,,9.440,,1504,333/2 BC,333,332,-333,-332
,,,,,,,8.587,9.450,,1762,330 BC,330,330,-330,-330
,,,,,,,,9.454,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.458,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.459,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,8.189,9.460,,,322 BC,322,322,-322,-322
,,,,,,,8.587,9.462,,1510,320 BC,320,320,-320,-320
,,,,,,,,9.463,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.464,,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,9.465,,,320 BC,320,320,-320,-320
,,,,,,,,9.466,,1471,305 BC,305,305,-305,-305
,,,,,,,,9.467,,,Late 4th/early3rd cent. BC,330,270,-330,-270
,,,,,,,,9.470,,,300 BC,300,300,-300,-300
,,,,,,,,9.471,,,300 BC,300,300,-300,-300
,,,,,,,,9.472,,,Early 3rd. cent. BC,300,270,-300,-270
,,,,,,,,9.473,,,Early 3rd. cent. BC,300,270,-300,-270
,,3.030,,,,,,9.474,,,Early 3rd. cent. BC,300,270,-300,-270
,,,,,,,,9.475,,,300-275 BC,300,275,-300,-275
,,,,,,,,9.477,,,Early 3rd cent. BC,300,270,-300,-270
,,,,,,,8.295,9.479,,,300 -250 BC,300,250,-300,-250
,,,,,,,,9.480,,,Early 3rd cent. BC,300,270,-300,-270
,,,,,,,,9.482,,,c. 287-250 BC,287,250,-287,-250
,,,,,,,,9.483,,,285-80 BC,285,280,-285,-280
,,,,,,,8.284,9.486,,,260,260,260,-260,-260
,,,,,,,,9.487,,,260-250 BC,260,250,-260,-250
,,,,,,,,9.488,,,260-230 BC,260,230,-260,-230
,,,,,,,,9.489,,,259/8 BC,259,258,-259,-258
,,,,,,,,9.490,,,Mid 3rd cent. BC,270,230,-270,-230
,,,,,,,8.290,9.491,,,250 BC,250,250,-250,-250
,,,,,,,,9.494,,,250-240 BC,250,240,-250,-240
,,,,,,,,9.495,,,Mid to late 3rd cent. BC,270,200,-270,-200
,,,,,,,,9.499,,1299,240 BC,240,240,-240,-240
,,,,,,,,9.500,,1300,215 BC,215,215,-215,-215
,,,,,,,,9.501,,,200-195 BC,200,195,-200,-195
,,,,,,,,9.502,,,2nd cent. BC,200,100,-200,-100
,,,,,,,,9.504,,,Early 2nd cent. BC,200,170,-200,-170
,,,,,,,,9.505,,,Early 2nd cent. BC,200,170,-200,-170
,,,,,,,,9.506,,,195-190 BC,195,190,-195,-190
,,,,,,,,9.507,,,175 BC,175,175,-175,-175
,,,,,,,,9.508,,,170 BC,170,170,-170,-170
,,,,,,,8.427,9.509,,,170 BC,170,170,-170,-170
,,,,,,,,9.510,,,165 BC,165,165,-165,-165
,,,,,,,,9.512,,,150 BC,150,150,-150,-150
1.075,,,,,,,,9.513,,1552,150 BC,150,150,-150,-150
,,,4.057,,,,,9.516,,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,9.517,,,150-100 BC,150,100,-150,-100
,,,,,,,,9.518,,,150-100 BC,150,100,-150,-100
,,,,,,,,9.519,,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,9.520,,,Second half 2nd cent. BC,150,100,-150,-100
,,,,,,,,9.521,,,150 BC,150,150,-150,-150
,,,,,,,,9.522,,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,9.524,,,Mid to late 2nd cent. BC,170,100,-170,-100
,,,,,,,,9.525,,,150 BC,150,150,-150,-150
,,,,,,,8.467,9.526,,,145 BC,145,145,-145,-145
,,,,,,,,9.527,,,144/3 BC,144,143,-144,-143
,,,,,,,,9.528,,1542,140-120 BC,140,120,-140,-120
1.080,,3.058,,,,,8.442,9.530,,,140-120 BC,140,120,-140,-120
,,,,,,,,9.532,,,130 BC or earlier,138,130,-138,-130
,,,,,,,,9.535,,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,9.536,,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,9.537,,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,9.540,,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,9.541,,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,9.542,,,120-63 BC,120,63,-120,-63
,,,,,,,8.474,9.543,,,115 BC,115,115,-115,-115
,,,,,,,,9.548,,,100 BC,100,100,-100,-100
,,,,,,,,9.551,,,Early 1st cent BC,100,70,-100,-70
,,,,,,,,9.552,,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,9.553,,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,9.555,,1355,88 BC,88,88,-88,-88
,,,,,,,,9.556,,,80-70 BC,80,70,-80,-70
,,,4.072,,,,,9.557,,,80 BC,80,70,-80,-70
,,,,,6.046,7.134,,9.558,,,75 BC,75,75,-75,-75
,,,,,,,,9.559,,,70 BC,70,70,-70,-70
,,,,,,,,9.560,,,70 BC,70,70,-70,-70
,,,,,,,,9.564,,,Mid 1st cent. BC,70,30,-70,-30
,,,,,,,,9.565,,,Mid 1st cent. BC,70,30,-70,-30
,,,,,,,8.536,9.568,,,50 BC,50,50,-50,-50
,,,,,,,,9.570,,1360,Mid 1st cent. BC,70,30,-70,-30
,,,,,,,8.546,9.573,,,Mid 1st cent. BC,70,30,-70,-30
,,,,,,,,9.574,,,Mid to late 1st cent. BC,70,0,-70,0
,,,,,,,,9.579,,,38/7 BC,38,37,-38,-37
,2.127,,,,,7.146,,9.582,,,Late 1st cent. BC,30,0,-30,0
,,,,,,,,9.583,,,25 BC,25,25,-25,-25
,,,,,,7.010,,9.596,,1874,500 BC,500,500,-500,-500
,,,,,,,,9.670,,2232,211 BC,211,211,-211,-211
,,,,,,,,9.689,,,210 BC,210,210,-210,-210
,,,,,,,,9.710,,,Late 3rd cent. BC,230,200,-230,-200
,,,,,,,,,10.019,,375-350,375,350,-375,-350
,,,,,,,,,10.031,,325 BC,325,325,-325,-325
,,,,,,,,,10.032,,325 BC,325,325,-325,-325
,,,,,,,,,10.034,,Last quarter of 4th cent. BC,325,300,-325,-300
,,,,,,,,,10.040,,323 BC,323,323,-323,-323
,,,,,,,,,10.041,,320 BC,320,320,-320,-320
,,,,,,,,,10.044,,Late 4th cent. BC?,330,300,-330,-300
,,,,,,,,,10.045,,319/8 BC,319,318,-319,-318
,,,,,,,,,10.046,,317-316 BC,317,316,-317,-316
,,,,,,,,,10.048,,310-300 BC,310,300,-310,-300
,,,,,,,,,10.050,,310-308 BC?,310,308,-310,-308
,,,,,,,,,10.054,,Late 4th - early 3rd cent. BC,330,270,-330,-270
,,,,,,,,,10.055,,300-275 BC,300,275,-300,-275
,,,,,,,,,10.060,,early third century,300,270,-300,-270
,,,,,,,,,10.067,138,280 BC,280,280,-280,-280
,,,,,,,,,10.068,444,280,280,280,-280,-280
,,,,,,,,,10.069,,280-275 BC,280,275,-280,-275
,,,,,,,,,10.070,,280-75 BC,280,275,-280,-275
,,,,,,,,,10.073,,mid-third century BC,270,230,-270,-230
,,,,,,,,9.162,10.074,,274/3 BC,274,273,-274,-273
,,,,,,,,,10.081,,Mid 3rd cent. BC,270,230,-270,-230
,,,,,,,,,10.106,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.111,,First half of 2nd cent. BC,200,150,-200,-150
,,,,,,,,,10.115,,170,170,170,-170,-170
,,,,,,,,,10.116,860,c. 170-162 BC,170,162,-170,-162
,,,,,,,,,10.162,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,,10.165,,First half of 1st cent. BC,100,50,-100,-50
,,,,,,,,,10.166,,1st cent. BC - 1st cent. AD,100,100,-100,-100
,,,,,,,,,10.171,,Middle of 1st cent. BC?,70,30,-70,-30
,,,,,,,,,10.199,,7th - 6th cent BC,700,500,-700,-500
,,,,,,,,,10.200,,600 BC,600,600,-600,-600
,,,,,,,,9.341,10.201,,early 6th cent. BC,600,570,-600,-570
,,,,,,7.008,,,10.202,,late 6th cent. BC,530,500,-530,-500
1.003,,,,,,,,,10.203,,Late 6th century BC,530,500,-530,-500
,,,,,,,,,10.204,,520-510 BC,520,510,-520,-510
,,,,,,,,,10.205,1789,500 BC,500,500,-500,-500
,,,,,,,,,10.207,,5th cent. BC?,500,400,-500,-400
,,,,,,,,,10.208,,Early 5th century BC,500,470,-500,-470
,,,,,,,,,10.210,,478 BC,478,478,-478,-478
,,,,,,,,9.352,10.211,,After 475 BC,475,425,-475,-425
,,,,,,,8.048,,10.212,,460 BC,460,460,-460,-460
,,,,,,,,,10.213,,Mid 5th cent. BC,470,430,-470,-430
,,,,,,,,,10.214,1251,440-430 BC,440,430,-440,-430
,,,,,,,,,10.215,,425-400 BC,425,400,-425,-400
,,,,,,,,,10.217,,400 BC,400,400,-400,-400
,,,,,,,,,10.220,,4th cent. BC,400,300,-400,-300
,,,,,,,,,10.221,,4th cent. BC,400,300,-400,-300
,,,,,,,,,10.222,,4th cent. BC,400,300,-400,-300
,,,,,,,,,10.223,1225,4th cent. BC,400,300,-400,-300
,,,,,,,8.058,,10.225,,4th cent. BC,400,300,-400,-300
,,,,,,,,,10.227,,4th cent. BC?,400,300,-400,-300
,,,,5.022,6.013,,,,10.228,,380 BC,380,380,-380,-380
,,,,5.017,,,8.096,9.387,10.229,,375 BC,375,375,-375,-375
,,,,,,,,,10.230,,370-350,370,350,-370,-350
,,,,,,,,,10.231,1210,360 BC,360,360,-360,-360
,,,,,,,8.027,9.411,10.232,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,9.410,10.233,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,,10.234,,Mid 4th cent. BC,370,330,-370,-330
,,,,,,,,,10.236,,350 BC,350,350,-350,-350
,,,,,,,,,10.238,,Second half of 4th cent. BC,350,300,-350,-300
,,,,,,,,,10.239,,Mid 340s BC,350,340,-350,-340
,,,,,,,,9.423,10.240,1215,340 BC,340,340,-340,-340
,,,,,,,,9.421,10.241,,340 BC,340,340,-340,-340
,,,,,,,,,10.242,,340-330,340,330,-340,-330
,,,,,,,,,10.244,,334-330 BCE,334,330,-334,-330
,,,,,,,,,10.245,,Last quarter of 4th cent. BC,325,300,-325,-300
,,,,,,,,,10.246,,323-322 BC,323,322,-323,-322
,,,,,,,,,10.247,,320 BC,320,320,-320,-320
,,,,,,,,,10.249,,320-290,320,290,-320,-290
,,,,,,,,,10.250,,318-317 BC,318,317,-318,-317
,,,,,,,,,10.251,,318/7,318,317,-318,-317
,,,,,,,,,10.252,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,,10.254,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,,10.255,,Late 4th cent. BC,330,300,-330,-300
,,,,,,,,,10.261,,3rd cent. BC,300,200,-300,-200
,,,,,,,,,10.262,,3rd cent. BC,300,200,-300,-200
,,,,,,,,,10.263,,290 BC,290,290,-290,-290
,,,,,,,,,10.265,,c. 281 BC,281,281,-281,-281
,,,,,,,,,10.267,,250-200,250,200,-250,-200
,,,,,,7.080,8.308,,10.269,,240s BC,250,240,-250,-240
,,,,,,,,,10.270,,230-200 BC,230,200,-230,-200
,,,,,,7.061,,,10.271,,230-210,230,210,-230,-210
,,,,,,,,,10.272,,225-224 BC,225,224,-225,-224
,,,,,,,,,10.273,,c. 220 BC,220,220,-220,-220
,,,,,,,,,10.275,,206-200 BC,206,200,-206,-200
,,,,,,,,,10.276,1311,205-190,205,190,-205,-190
,,,,,,,,,10.277,,c. 203 BC,203,203,-203,-203
,,,,,,,,,10.278,,200 BC,200,200,-200,-200
,,,,,,,,,10.279,,200 BC?,200,200,-200,-200
,,,,,,,,,10.280,1308,200-175,200,175,-200,-175
,,,,,,,,,10.282,1344,2nd cent. BC,200,100,-200,-100
,,,,,,,,,10.283,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.284,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.285,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.286,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.287,,2nd-1st cent. BC,200,0,-200,0
,,,,,,,,,10.288,,c. 197 BC,197,197,-197,-197
,2.081,,,,,,,,10.289,,195/4 BC,195,194,-195,-194
,,,,,,,,,10.290,1341,190-150,190,150,-190,-150
,2.084,,,,,,,,10.291,1342,190-150 BC,190,150,-190,-150
,,,,,,,,,10.292,,187-186 BC,187,186,-187,-186
,,,,,,,,,10.293,,c.180-170 BC,180,170,-180,-170
,,,,5.043,6.034,,,,10.294,,180-175 BC,180,175,-180,-175
,,,,,,,,,10.295,,170-160,170,160,-170,-160
,,,,,,,,,10.298,,165 BC,165,165,-165,-165
,,,,,,,,,10.299,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,9.525,10.300,,Mid 2nd cent. BC,170,130,-170,-130
,,,,,,,,,10.301,,151-150 BC,151,150,-151,-150
,,,,,,,,,10.302,,150 BC,150,150,-150,-150
,,,,,,,,,10.304,,150-100,150,100,-150,-100
,,,,,,,,9.515,10.305,1335,150-100 BC,150,100,-150,-100
,,,,,,,,9.527,10.308,,143 BC,143,143,-143,-143
1.087,2.090,,,,6.038,,8.460,,10.310,,c.143/2,143,142,-143,-142
,,,,,,,8.490,,10.317,,Last quarter of 2nd cent BC?,125,100,-125,-100
,,,,,,,,,10.319,,123 BC,123,123,-123,-123
,,,,,,,,,10.320,,Late 2nd cent. BC,130,100,-130,-100
,,,,,,,,,10.323,1786,c. 120 BC,120,120,-120,-120
,,,,,,,,9.538,10.324,1357,120-100 BC,120,100,-120,-100
,,,,,,,,,10.325,,120-63 BC,120,63,-120,-63
,,,,,,,,,10.326,,118 BC,118,118,-118,-118
,,,,,,,,,10.327,1435,114-113 BC,114,113,-114,-113
,,,,,,,,9.523,10.328,,104-102 BC,104,102,-104,-102
,,,,,,,,,10.329,,c. 101 BC,101,101,-101,-101
,,,,,,,,,10.330,,100 BC,100,100,-100,-100
,,,,,,,,,10.331,1419,100 BC,100,100,-100,-100
,,,,,,,,,10.332,,1st cent. BC,100,0,-100,0
,,,,,,,,,10.333,,1st cent. BC,100,0,-100,0
,,,,,,,,,10.334,,1st cent. BC,100,0,-100,0
,,,,,,,,,10.335,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,,10.336,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,,10.337,,Early 1st cent. BC,100,70,-100,-70
,,,,,,,,,10.338,,c. 95 BC,95,95,-95,-95
,,,,,,,,,10.341,,89/8 BC,89,88,-89,-88
,,,,,,,,,10.343,,80 BC,80,80,-80,-80
,,,,,,,,,10.344,,c. 78 BC,78,78,-78,-78
,,,,,,,,,10.356,,Mid-late 1st cent. BC,70,0,-70,0
,,,,,,,,,10.357,,Mid-late 1st cent. BC,70,0,-70,0
,,,,,,,,,10.358,,47- 46 BC or later,47,30,-47,-30
,,,,,,,,,10.360,1465,39-25 BC,39,25,-39,-25
,,,,,,,,,10.430,,Mid 2nd cent. BC,170,130,-170,-130
,2.017,,4.011,,,,8.044,9.680,10.435,1644,475-470 BC,475,470,-475,-470
,,,,,,,,,10.436,1645,c. 470 BC,470,470,-470,-470
,,,,,,,,,10.437,,450 BC,450,450,-450,-450
,,,,,,,,8.375|8.411,10.469,,Early 2nd cent. BC,200,170,-200,-170
1.002,,3.001,,,,,,,,1161,550,550,550,-550,-550
1.006,,,,,,,8.040,9.351,,,475 BC,475,475,-475,-475
1.020,,,,,,,,,,,5th,500,400,-500,-400
,2.023,,,,,,,,,,5th?,500,400,-500,-400
1.022,,3.015,,,,,,,,,400-395,400,395,-400,-395
1.026,,,,5.019,,,,,,,360,360,360,-360,-360
1.038,,2.049,,,,,8.188,,,,323,323,323,-323,-323
3.026,1.045,2.053,,,,,,,,,309 ?,309,309,-309,-309
,,,,,6.023,7.068,,,,150,280-270,280,270,-280,-270
1.085,,,,,,,8.414,,,,175 BC,175,175,-175,-175
,,,,,,,8.492,,,,100 - 75 BC,100,75,-100,-75
1.090,,,,,,,,,,,2nd cent.,200,100,-200,-100
1.091,,,,,,,,,,,late 2nd,130,100,-130,-100
,1.093,3.044,,,,,,,,958,230,230,230,-230,-230
,2.127,,,,,7.146,,,,,late 1st,30,0,-30,0
,2.018,,,5.003,,,,,,,480-460,480,460,-480,-460
,2.055,,,,,7.053,,,,1670,305,305,305,-305,-305
,2.068,,,,,,8.287,,,,c. 250 BC,250,250,-250,-250
,2.070,,,,,,8.312,,,,226 - 225 BC,226,225,-226,-225
,2.072,3.043,,,,,,,,,250-225,250,225,-250,-225
,2.088,,,,,,,,,,150 BC,150,150,-150,-150
,,3.053,,,,,,,,,160,160,160,-160,-160
,,3.014,4.016,,,,,,,,late 5th,430,400,-430,-400
,,3.016,,,,,8.105,,,,350 BC,350,350,-350,-350
,,3.030,,,,,8.227,,,,300 BC,300,300,-300,-300
,,3.069,4.067,,,,,,,1350,100,100,100,-100,-100
,,3.080,,,,,8.532,9.569,,,Mid 1st cent. BC,70,30,-70,-30
,,,,5.021,6.012,,,,,,350,350,350,-350,-350
,,,,5.042,6.035,,,,,,175,175,175,-175,-175
,,,,,6.032,7.082,8.340,,,,200 BC,200,200,-200,-200
,,,,,6.037,7.098,8.433,9.511,,,162 BC,162,162,-162,-162
,,,,,6.004,7.012,8.045,,,,475,475,475,-475,-475
,,,,,,7.016,,,,,475,475,475,-475,-475
,,,,,,7.021,8.049,,,1184,455 BC,455,455,-455,-455
,,,,,,7.102,8.443,,,,mid 2nd,170,130,-170,-130
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
